huc12_id,ifi_measure_Flood,ifi_fp_AreaKM2,konrad_fp_area,k_totalCells,k_sum,k_percentArea,floodPlainAreaRatio,cell_In_IFI_FP
171100190101,0.373271,1.404479,0,0,NA,NA,Inf,FALSE
171100190102,0.7745706,0.1478377,0,0,NA,NA,Inf,FALSE
171100190103,0.745535,0.03664835,0,0,NA,NA,Inf,FALSE
171100020203,0.9118677,5.432377,10.798400000000001,107984,32068,0.2969699214698474,0.5030723996147577,TRUE
171100040605,1,0.02333881,0,0,NA,NA,Inf,FALSE
171100020107,0.8766046,0.5145655,0,0,NA,NA,Inf,FALSE
171100020202,0.6839892,2.128837,10.7675,107675,21814,0.20259113071743673,0.19770949616902714,TRUE
171100050402,1,0.09543821,0,0,NA,NA,Inf,FALSE
171100190606,0.2755534,6.879911,0,0,NA,NA,Inf,FALSE
171100050403,1,0.1156086,0,0,NA,NA,Inf,FALSE
171100050404,0.995814,0.404371,0,0,NA,NA,Inf,FALSE
171100050501,0.9898629,0.4549373,0,0,NA,NA,Inf,FALSE
171100050502,0.9956431,0.5933187,0,0,NA,NA,Inf,FALSE
171100050503,0.9997069,0.4432003,0,0,NA,NA,Inf,FALSE
171100050504,0.7244245,0.7498037,1.2411,12411,470,0.03786963177826122,0.6041444686165498,TRUE
171100050505,0.8110921,1.514929,1.3812,13812,133,0.009629307848247901,1.0968208803938604,TRUE
171100050601,0.927659,1.981773,3.1653000000000002,31653,14159,0.4473193694120621,0.6260932613022462,TRUE
171100190703,0.718376,0.9762175,0,0,NA,NA,Inf,FALSE
171100190704,0.6493347,0.4832275,0,0,NA,NA,Inf,FALSE
171100190705,0.599852,0.3455348,0,0,NA,NA,Inf,FALSE
171100190706,0.7494807,0.01725058,0,0,NA,NA,Inf,FALSE
171100190107,0.7159243,0.3325004,0,0,NA,NA,Inf,FALSE
171100190104,0.747464,0.04579145,0,0,NA,NA,Inf,FALSE
171100190201,0.7336473,0.873437,0,0,NA,NA,Inf,FALSE
171100190203,0.4988955,1.191871,0,0,NA,NA,Inf,FALSE
171100190204,0.5,2.141458,0,0,NA,NA,Inf,FALSE
171100190205,0.313573,25.36945,0,0,NA,NA,Inf,FALSE
171100190301,0.3287539,2.218444,0,0,NA,NA,Inf,FALSE
171100190302,0.4346523,7.425571,0,0,NA,NA,Inf,FALSE
171100190303,0.4830672,8.234714,0,0,NA,NA,Inf,FALSE
171100190402,0.7499844,0.003832241,0,0,NA,NA,Inf,FALSE
171100190403,0.7327329,0.1046171,0,0,NA,NA,Inf,FALSE
171100190404,0.7487319,0.02689917,0,0,NA,NA,Inf,FALSE
171100020302,0.2270726,60.03065,0,0,NA,NA,Inf,FALSE
171100020204,0.3009099,23.25457,53.206300000000006,532063,14260,0.02680133743560443,0.4370642198386281,TRUE
171100020301,0.5321453,2.407853,22.352600000000002,223526,1080,0.004831652693646377,0.10772138364217136,TRUE
171100020303,0.7438514,1.682833,0,0,NA,NA,Inf,FALSE
171100020402,1,0.02076993,0,0,NA,NA,Inf,FALSE
171100040101,0.8809576,1.810198,2.7761,27761,13767,0.4959115305644609,0.6520651273369115,TRUE
171100050604,0.9962518,0.4737536,0,0,NA,NA,Inf,FALSE
171100050605,0.9922428,1.148522,0.7013,7013,2606,0.3715956081562812,1.6377042635106231,TRUE
171100050606,0.928769,2.93025,4.3446,43446,16342,0.37614509966395065,0.6744579477972656,TRUE
171100050701,0.992344,0.7514363,1.0937000000000001,10937,1024,0.09362713724055957,0.6870588826917801,TRUE
171100050702,0.8699122,1.947119,3.2306000000000004,32306,4201,0.13003776388287006,0.6027112610660558,TRUE
171100050703,0.908051,1.159976,1.2845,12845,3684,0.2868042039704165,0.9030564421954067,TRUE
171100050704,0.9060351,0.9340018,3.9854000000000003,39854,1937,0.04860239875545742,0.23435584884829627,TRUE
