huc12_id,ifi_measure_Flood,ifi_fp_AreaKM2,konrad_fp_area,k_totalCells,k_sum,k_percentArea,floodPlainAreaRatio,cell_In_IFI_FP
171100070201,0.6886069,6.922163,10.237400000000001,102374,17801,0.17388204036181062,0.6761641627757047,TRUE
171100070202,0.555838,9.333238,14.0797,140797,23411,0.1662748496061706,0.6628861410399369,TRUE
171100070203,0.4449688,42.97233,52.9532,529532,105321,0.19889449551679597,0.811515262533709,TRUE
171100070204,0.470238,91.70146,130.4333,1304333,84177,0.06453643356412818,0.7030525180302882,TRUE
171100080101,0.9776674,1.229698,0.7818,7818,3263,0.41737017139933485,1.5729061140956764,TRUE
171100080102,0.7451861,3.055485,5.9817,59817,14972,0.25029673838540883,0.5108054566427604,TRUE
171100080103,0.8795325,3.072427,4.305000000000001,43050,11502,0.2671777003484321,0.7136880371660858,TRUE
171100080104,0.9417409,2.069427,1.7737,17737,9722,0.5481197496758189,1.1667288718498054,TRUE
171100080105,0.7801369,4.073904,6.6624,66624,24825,0.3726134726224784,0.6114769452449568,TRUE
171100080106,0.4721777,4.295926,7.4579,74579,16824,0.2255862910470776,0.576023545502085,TRUE
171100080107,0.9922383,0.8233738,0.9387000000000001,9387,3656,0.3894748055821881,0.8771426440822414,TRUE
171100080108,0.825873,2.916603,3.7082,37082,18488,0.4985707351275552,0.7865279650504287,TRUE
171100080109,0.6200559,12.57441,17.8994,178994,43927,0.24541046068583305,0.7025045532252477,TRUE
171100080201,0.94241490000000006,1.019942,1.3626,13626,3359,0.24651401731982975,0.7485263466901511,TRUE
171100080202,0.771624,2.813269,4.2081,42081,14023,0.3332382785580191,0.6685366317340368,TRUE
171100080203,0.6939041,4.649357,6.006200000000001,60062,23450,0.3904298891145816,0.7740929372981252,TRUE
171100090103,0.9461722,3.666779,3.217,32170,16677,0.5184022381100404,1.1398131799813491,TRUE
171100090303,0.4603242,4.303468,4.0538,40538,19566,0.4826582465834526,1.061588632887661,TRUE
171100090401,0.9318598,1.556227,0.9024000000000001,9024,3430,0.38009751773049644,1.7245423315602835,TRUE
171100090402,0.6600732,2.028835,2.1941,21941,13590,0.619388359691901,0.9246775443234126,TRUE
171100080207,0.5816192,7.109747,9.3376,93376,33310,0.3567297806716929,0.7614105337559972,TRUE
171100080205,0.8919039,2.697685,3.6363000000000003,36363,16013,0.4403652063911118,0.741876357836262,TRUE
171100080206,0.799955,2.929422,4.1276,41276,12489,0.30257292373291983,0.7097155732144588,TRUE
171100080301,0.8638905,1.2501,1.6852,16852,6144,0.3645858058390695,0.7418110610016615,TRUE
171100080302,0.7678276,3.091424,4.697,46970,22899,0.4875239514583777,0.6581698956780924,TRUE
171100080303,0.4659049,24.83678,27.4406,274406,41543,0.15139246226394468,0.9051106754225491,TRUE
171100080304,0.4583596,28.74646,35.265,352650,24233,0.0687168580745782,0.8151555366510704,TRUE
171100090101,0.9722062,0.6543715,0.677,6770,2532,0.3740029542097489,0.9665753323485967,TRUE
