"","huc12_id","ifi_measure_Flood","ifi_fp_AreaKM2","konrad_fp_area","k_totalCells","k_sum_1_2_3","k_percentArea","floodPlainAreaRatio"
"1",170800060500,0.9375163,17.40734,0,0,NA,NA,Inf
"2",171001030404,0.7081254,6.118226,0,0,NA,NA,Inf
"3",171001040404,0.8559033,1.109088,0,0,NA,NA,Inf
"4",171001060107,0.7089245,2.113661,0,0,NA,NA,Inf
"5",170200090108,0.840727,0.7142839,0,0,NA,NA,Inf
"6",170200090109,0.981284,0.6362171,0,0,NA,NA,Inf
"7",170200090301,0.673124,0.4067779,0,0,NA,NA,Inf
"8",170300010601,0.7821016,0.7964886,0,0,NA,NA,Inf
"9",170300010602,0.9424664,1.636821,0,0,NA,NA,Inf
"10",170300010605,0.915374,6.857853,0,0,NA,NA,Inf
"11",170300030102,0.6454826,2.528782,0,0,NA,NA,Inf
"12",170300010704,0.9997639,0.08956693,0,0,NA,NA,Inf
"13",170300010705,0.5311541,3.595324,0,0,NA,NA,Inf
"14",170300030101,0.7876026,0.9945878,0,0,NA,NA,Inf
"15",170800050906,0.4375054,19.05914,0,0,NA,NA,Inf
"16",170300010401,0.6659585,0.3013685,0,0,NA,NA,Inf
"17",170300010205,0.5857227,8.1969,0,0,NA,NA,Inf
"18",170300010301,0.6241122,3.129904,0,0,NA,NA,Inf
"19",170300010304,0.691559,6.589558,0,0,NA,NA,Inf
"20",170300010402,0.558858,0.9759603,0,0,NA,NA,Inf
"21",170300010403,0.7118591,10.1447,0,0,NA,NA,Inf
"22",170300010408,0.4900611,64.22836,0,0,NA,NA,Inf
"23",171100050603,0.8325614,0.866972,0.5108,5108,0,0,1.69728269381363
"24",171100120201,0.4611729,4.66563,9.5351,95351,15501,16.2567775901669,0.489311071724471
"25",171100040604,0.7471729,0.007909934,0,0,NA,NA,Inf
"26",171100040602,0.7446999,1.089018,0,0,NA,NA,Inf
"27",171100040603,0.5765983,1.042627,0,0,NA,NA,Inf
"28",171100050607,0.7493696,0.525359,0.4202,4202,0,0,1.25025940028558
"29",171100070107,0.6079782,28.97598,48.9849,489849,189247,38.633742234852,0.591528818064342
"30",171100080204,0.9991219,0.7248806,0.2246,2246,433,19.2787177203918,3.22742920747996
"31",171100110101,0.7541187,5.731152,8.1982,81982,28923,35.2796955429241,0.699074430972653
"32",171100100401,0.6975735,1.963885,2.4897,24897,10920,43.8607061091698,0.788803871952444
"33",171100100402,0.5591963,2.239152,2.7296,27296,6012,22.0252051582649,0.820322391559203
"34",171100130203,0.7241162,2.201846,3.9828,39828,2223,5.58150045194336,0.552838706437682
"35",171100140401,0.4753358,6.728576,5.253,52530,31517,59.998096325909,1.2809015800495
"36",171100150112,0.4195697,5.418929,16.1234,161234,9982,6.19100189786273,0.336090960963568
"37",171100150306,0.8980716,2.839482,19.3567,193567,96359,49.780696089726,0.146692463074801
"38",171100200506,0.9941175,1.122077,0.591,5910,1289,21.8104906937394,1.89860744500846
"39",171100190603,0.6452196,1.705624,0,0,NA,NA,Inf
"40",171100210607,0.9695044,0.0266019,0,0,NA,NA,Inf
"41",170200100301,0.9564523,0.5009875,0,0,NA,NA,Inf
"42",170200100304,0.6736533,0.6111429,0,0,NA,NA,Inf
"43",170200110602,0.9980611,0.0405537,0,0,NA,NA,Inf
"44",170200120303,0.7331905,0.4263579,0,0,NA,NA,Inf
"45",170200120305,0.9928191,0.4212587,0,0,NA,NA,Inf
"46",170200120307,0.9567188,1.558668,0,0,NA,NA,Inf
"47",170200120403,0.7587661,3.354294,0,0,NA,NA,Inf
"48",170200120404,0.8258517,3.488006,0,0,NA,NA,Inf
"49",170200120406,0.8051286,2.505677,0,0,NA,NA,Inf
"50",171100180108,0,0,0,0,NA,NA,NA
"51",171100210604,0,0,0,0,NA,NA,NA
"52",171100210606,0,0,0,0,NA,NA,NA
"53",170200080201,0.7497054,0.5266036,0,0,NA,NA,Inf
"54",170200080404,0.7302387,1.74466,0,0,NA,NA,Inf
"55",170300020101,0.983249,0.2984988,0,0,NA,NA,Inf
"56",170300020308,0.4741014,4.624305,0,0,NA,NA,Inf
"57",170701060101,0.7199307,3.444342,0,0,NA,NA,Inf
"58",170300020303,0.690732,1.141008,0,0,NA,NA,Inf
"59",171100190502,0.7036599,0.7513198,0.0575,575,0,0,13.0664313043478
"60",171100150307,0.4648142,17.9552,46.5026,465026,139647,30.0299338101525,0.386111744289567
"61",171100190900,0.9074447,8.794702,3.2125,32125,31556,98.2287937743191,2.73765042801556
"62",171100150308,0.4716745,5.888511,5.862,58620,4029,6.87308085977482,1.00452251791198
"63",171100190304,0.4596073,1.798808,0.8547,8547,0,0,2.10460746460746
"64",171100190501,0.7700354,0.0310358,0,0,NA,NA,Inf
"65",171100191100,0.6952079,12.91043,16.8186,168186,142297,84.6069232873129,0.767628102220161
"66",171100191200,0.6555401,3.781234,0.7674,7674,0,0,4.92733124837112
"67",170300020302,0.949339,2.829013,0,0,NA,NA,Inf
"68",170800040104,0.9086733,2.610893,0,0,NA,NA,Inf
"69",170300010101,0.72038,2.754091,0,0,NA,NA,Inf
"70",171100100201,0.921553,2.231513,1.534,15340,7638,49.7913950456323,1.45470208604954
"71",171100190604,0.8047451,3.622489,0,0,NA,NA,Inf
"72",171100150108,0.5135546,0.5638658,4.0248,40248,221,0.549095607235142,0.140097843371099
"73",171100150109,0.6163915,3.538516,4.4847,44847,15549,34.6712154659175,0.789019555377171
"74",170800040506,0.5287099,11.70563,0,0,NA,NA,Inf
"75",170800050103,0.9550222,0.205549,0,0,NA,NA,Inf
"76",170800050301,0.4254256,22.10019,0,0,NA,NA,Inf
"77",171100190504,0.9991626,0.01577513,0,0,NA,NA,Inf
"78",170800050902,0.5014482,3.663969,0,0,NA,NA,Inf
"79",171001030110,0.875461,6.208195,0,0,NA,NA,Inf
"80",171001030202,0.6601307,2.196067,0,0,NA,NA,Inf
"81",171001030501,0.4263457,15.04951,0,0,NA,NA,Inf
"82",171001040403,0.4137528,11.25494,0,0,NA,NA,Inf
"83",171001060502,0.3679388,8.973124,0,0,NA,NA,Inf
"84",170800060302,0.8436432,1.02359,0,0,NA,NA,Inf
"85",170800060402,0.795643,1.992763,0,0,NA,NA,Inf
"86",171100210202,0.7063145,1.289361,0,0,NA,NA,Inf
"87",171100210701,0.7280373,5.785175,0,0,NA,NA,Inf
"88",171100210703,0.6338834,4.733027,0,0,NA,NA,Inf
"89",171100210705,0.4347402,2.007245,0,0,NA,NA,Inf
"90",171001060302,0.4260534,12.96169,0,0,NA,NA,Inf
"91",170800060304,0.6118549,14.43027,0,0,NA,NA,Inf
"92",171001010101,0.7488191,1.159716,0,0,NA,NA,Inf
"93",171001010302,0.808299,5.275987,0,0,NA,NA,Inf
"94",171001010603,0.4988853,6.906481,0,0,NA,NA,Inf
"95",171001010605,0.5586657,8.050383,0,0,NA,NA,Inf
"96",171001010606,0.7401263,5.064551,0,0,NA,NA,Inf
"97",171100120303,0.5597241,1.313778,3.3856,33856,8880,26.2287334593573,0.38804879489603
"98",171100090702,0.4583131,26.7586,28.5225,285225,88631,31.074064335174,0.938157594881234
"99",171100100603,0.5001133,24.52618,24.7399,247399,50172,20.2797909449917,0.991361323206642
"100",171100110201,0.1153315,19.35106,26.9672,269672,8,0.00296656679225133,0.717577649885787
"101",171100110202,0.3303435,13.20589,13.7813,137813,55674,40.3982207774303,0.958247044908681
